อ้าว อยากมีเรื่องหรอวะ ไอ้หัวเกรียน!	neg
ขอโทษที่รบกวนคะ	pos
รักเธอนะ คนดี	pos
เหี้ย สัตว์มึงอย่าเสือกดิ	neg
ไอ้คนทรยศ แกอย่าหวังว่าจะตายดี	neg
ดีใจด้วยนะ คุณหญิงกฤตยา	pos
เธอเป็นความภูมิใจที่สุดของฉัน	pos
ทปอ. ว่าแต่เขาอิเหนาเป็นเอง ขี้คุยชมัด	neg
ติดมหิดล รอบพอร์ตแล้ว เย้ๆๆ	pos
มือถือค้างอ่ะ เซ็งจัง	neg
เอาหมูคุโรบุตะมาทำสเต๊กนี่ กินแล้วฟินขั้นเทพพพพ	pos
เกรซไม่เคยเปิดใจให้เรา ไม่รู้เค้ามีอคติไรนักหนา	neg
สอบเกือบผ่าน ตกไปแค่ 0.5 คะแนนเอง ถถถถ	neg
ทักคับ 😃	pos
ยินดีด้วยแนนได้ผู้แทนเลขละ มาสอนข้าน้อยด้วยด่วนๆ5555	pos
น่าเสียดายอ่ะน้องแกพลาดประธานตึกไปแค่ 16 แต้ม 😭	neg
น่ารักมากมายด์ ตายอย่างสงบศพสีชมพู❤️	pos
หลายครั้ง ความรักก็ทำให้เราตาบอดนะ เอิร์น	neg
เหม็น หยุดใช้น้ำหอมยี่ห้อนี้ได้มะ เรารู้สึกเหม็นฉุนๆ มากกว่าหอมอ่า._.	neg
พระคุณที่สามงดงามแจ่มใส	pos
ของเก่าจนเกือบจะใช้ไม่ได้ เหมือนอายุเจ้าของที่ใกล้ลงโลง	neg
สบายดีจ้า~	pos
5555555555 ขำจังเลย ตลกดี ชอบ	pos
เราไม่ชอบเฌอปราง แบบเกลียดขี้หน้านาง	neg
แล้วจะให้ฉันทำยังไง แกทำตัวแย่ซะขนาดนี้ ไอ้ลูกทรพี	neg
หิวข้าว รู้งี้กินข้าวเที่ยงดีกว่า เรื่องจริงนาจา	neg
สวัสดีครับ หมาคุณน่ารักจังเลย มันชื่ออะไรหรอคับ	pos
สุดที่รักเธอโทรมาหา ช่วยรับสายหน่อยสิจ้ะ	pos
อย่าให้เขาต้องรอนานอย่างนี้เลย ผิดไปแล้ว 🙏	neg
รักเธอมากเกินไป จนต้องทุกข์ใจเพราะเธอไม่แคร์ในสายตา	neg
ขอให้มีความสุข สุขสันต์วันเกิดนะ คุณย่า 👵	pos
กากวะ ไอ้เมากาวสายนู้ป กูไม่เคยได้คะแนนน้อยขนาดมึง	neg
ก็แค่พวกชอบนินทาชาวบ้าน	neg
ย้ายที่สักทีเถอะ หนูเบื่อยัยไร้ความรู้สึกคนนี้ จนจะทนต่อไปไม่ไหวแล้ว	neg
สุขกันเถอะเรา เศร้าไปไม่ได้อะไร ยิ้มเยอะๆเด้ออ	pos
ทุกอย่างไม่เที่ยงแท้ สักวันเธอก็ต้องแก่และมีผมขาวขึ้นเหมือนลุง ไมตรี	neg
แกเราได้เกรดสี่ เคมีอินทรีย์เว้ยเฮ้ย	pos
แววนี่ คนขี้อวด 2018 ส่งเข้าประกวด	neg
แต่ก็แววมันมีดีให้อวดอ่ะ หรือว่ามันไม่จริง	pos
เอมี่เดินออกจากวงสนทนาเงียบๆ รังเกียจพวกชอบดราม่าเกินเหตุ	neg
ครูรุ่งทิวา วาดรูปเมมเบรนของเซลล์เม็ดเลือดได้ห่วยแตก มาก มว๊ากแก	neg
กชพรเป็นนักเรียนที่ดี ไม่เคยมาโรงเรียนเลทตั้งแต่เปิดเทอมมา	pos
เบื่อพวกชอบอวดแฟนให้กับคนที่เพิ่งอกหักหมาดๆ แบบกูว่ะ เต้	neg
สารสื่อประสาทแอซิติลโคลีน ช่วยกระตุ้นให้ความจำดีขึ้นได้ค่ะ	pos
สารสื่อประสาทเอนดอร์ฟินจากสมอง ลดความรู้สึกเจ็บปวดลงได้	pos
หยุดเถอะ ขอละนะ มันน่ารำคาญ	neg
